298,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,26-104,1999,13,10,914,10.2,1,2,3,1,0,0,3,0,1.5,1.5,1.5,3.1,18,35,30,0.1,0.2,0.3,0.1,0.3,0.15,0.15,0.3,0.15,0.3,Matches
299,Justin Bourgault,fr FRA,"MF,DF",Brest,fr Ligue 1,20-113,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
300,Jarrod Bowen,eng ENG,"FW,MF",West Ham,eng Premier League,29-016,1996,20,20,"1,800",20,6,1,7,6,0,0,2,0,4.5,4.5,1.8,6.4,64,42,142,0.3,0.05,0.35,0.3,0.35,0.23,0.09,0.32,0.23,0.32,Matches
301,Lucas Boyé,ar ARG,"FW,MF",Alavés,es La Liga,29-311,1996,13,10,956,10.6,4,0,4,3,1,1,2,1,3.2,2.4,1,3.4,10,27,49,0.38,0,0.38,0.28,0.28,0.3,0.1,0.4,0.23,0.32,Matches
302,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,24-090,2001,16,16,"1,414",15.7,1,0,1,1,0,0,4,0,0.3,0.3,0.8,1.1,9,46,10,0.06,0,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,Matches
303,Domagoj Bradarić,hr CRO,"DF,FW",Hellas Verona,it Serie A,26-026,1999,13,12,967,10.7,0,0,0,0,0,0,1,0,0.5,0.5,1.5,2,13,17,38,0,0,0,0,0,0.05,0.14,0.19,0.05,0.19,Matches
304,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22-180,2003,14,11,840,9.3,0,1,1,0,0,0,5,0,0.2,0.2,1.1,1.3,23,35,44,0,0.11,0.11,0,0.11,0.02,0.12,0.14,0.02,0.14,Matches
305,Bilal Brahimi,dz ALG,FW,Nice,fr Ligue 1,25-297,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,0,2,0,0,0,0,0,0,17.64,17.64,0,17.64,Matches
306,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,29-248,1996,12,7,672,7.5,4,2,6,4,0,0,0,0,3.1,3.1,2,5.1,11,26,65,0.54,0.27,0.8,0.54,0.8,0.41,0.27,0.68,0.41,0.68,Matches
307,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,26-064,1999,12,11,998,11.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,17,60,12,0,0.09,0.09,0,0.09,0.02,0.02,0.04,0.02,0.04,Matches
308,Iker Bravo,es ESP,"FW,MF",Udinese,it Serie A,20-357,2005,7,3,190,2.1,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,5,8,11,0.47,0,0.47,0.47,0.47,0.1,0.1,0.2,0.1,0.2,Matches
309,Josip Brekalo,hr CRO,FW,Oviedo,es La Liga,27-196,1998,12,6,462,5.1,0,0,0,0,0,0,1,0,0.3,0.3,1.7,1.9,17,30,37,0,0,0,0,0,0.05,0.33,0.38,0.05,0.38,Matches
310,Gleison Bremer,br BRA,DF,Juventus,it Serie A,28-293,1997,8,7,600,6.7,0,2,2,0,0,0,0,0,0.3,0.3,0.1,0.4,0,9,2,0,0.3,0.3,0,0.3,0.05,0.02,0.07,0.05,0.07,Matches
311,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,25-350,2000,8,0,168,1.9,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,7,11,12,0.54,0,0.54,0.54,0.54,0.08,0.05,0.13,0.08,0.13,Matches
312,Abel Bretones,es ESP,"DF,MF",Osasuna,es La Liga,25-137,2000,15,15,"1,334",14.8,1,0,1,1,0,0,5,1,0.6,0.6,0.3,1,22,32,39,0.07,0,0.07,0.07,0.07,0.04,0.02,0.06,0.04,0.06,Matches
313,Sascha Britschgi,ch SUI,DF,Parma,it Serie A,19-131,2006,13,12,"1,020",11.3,0,2,2,0,0,0,2,0,0.3,0.3,1.1,1.3,11,27,42,0,0.18,0.18,0,0.18,0.02,0.09,0.12,0.02,0.12,Matches
314,Brian Brobbey,nl NED,FW,Sunderland,eng Premier League,23-338,2002,15,6,617,6.9,3,1,4,3,0,0,1,0,1.6,1.6,0.2,1.7,3,9,25,0.44,0.15,0.58,0.44,0.58,0.23,0.02,0.25,0.23,0.25,Matches
315,Marius Broholm,no NOR,"FW,MF",Lille,fr Ligue 1,21-010,2004,7,3,221,2.5,1,0,1,0,1,1,0,0,0.9,0.2,0.5,0.7,18,11,26,0.41,0,0.41,0,0,0.38,0.19,0.57,0.08,0.27,Matches
316,Armando Broja,al ALB,FW,Burnley,eng Premier League,24-117,2001,14,5,560,6.2,1,1,2,1,0,0,0,0,1.9,1.9,0.3,2.2,13,6,31,0.16,0.16,0.32,0.16,0.32,0.31,0.05,0.35,0.31,0.35,Matches
317,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,28-181,1997,18,11,910,10.1,1,1,2,1,0,0,6,0,4.2,4.2,2.5,6.7,29,35,92,0.1,0.1,0.2,0.1,0.2,0.41,0.25,0.66,0.41,0.66,Matches
318,Nathaniel Brown,de GER,"DF,FW",Eint Frankfurt,de Bundesliga,22-203,2003,15,11,"1,088",12.1,1,3,4,1,0,0,1,0,1.5,1.5,1.7,3.2,36,31,69,0.08,0.25,0.33,0.08,0.33,0.12,0.14,0.26,0.12,0.26,Matches
319,Brugui,es ESP,"MF,FW",Levante,es La Liga,29-062,1996,15,10,896,10,0,1,1,0,0,0,1,0,1.9,1.8,0.5,2.3,11,14,47,0,0.1,0.1,0,0.1,0.19,0.05,0.24,0.18,0.23,Matches
